,year,rank,song,singer,urls,top_predicted_genre,second_predicted_genre,display_genre
1486,2002,37,Nothin',N.O.R.E.,https://www.youtube.com/watch?v=sul16s0VSzs,Experimental,Electronic,Electronic
1493,2002,44,Down 4 U,"Ja Rule,Ashanti,Charli Baltimore,",https://www.youtube.com/watch?v=6Y7VUsek7PI,Experimental,Electronic,Electronic
1494,2002,45,Can't Get You Out of My Head,Kylie Minogue,https://www.youtube.com/watch?v=c18441Eh_WE,Electronic,Pop,Electronic
1499,2002,50,Still Fly,Big Tymers,https://www.youtube.com/watch?v=9iCd6UHR-3I,Experimental,Electronic,Electronic
1498,2002,49,"Lights, Camera, Action!",Mr. Cheeks,https://www.youtube.com/watch?v=wbdWen2_ZeY,Experimental,Folk,Folk
1462,2002,13,Ain't It Funny (Murder Remix),"Jennifer Lopez,Ja Rule,",https://www.youtube.com/watch?v=s0Vq5mNm4_E,Hip-Hop,Electronic,Hip-Hop
1470,2002,21,Without Me,Eminem,https://www.youtube.com/watch?v=YVkUvmDQ3HY,Hip-Hop,Electronic,Hip-Hop
1473,2002,24,Get the Party Started,Pink,https://www.youtube.com/watch?v=mW1dbiD_zDk,Hip-Hop,Electronic,Hip-Hop
1478,2002,29,I'm Gonna Be Alright,"Jennifer Lopez,Nas,",https://www.youtube.com/watch?v=LzX23qVqyJg,Hip-Hop,Electronic,Hip-Hop
1467,2002,18,I Need a Girl (Part Two),"P. Diddy,Ginuwine,Loon,Mario Winans,",https://www.youtube.com/watch?v=zGUttrXgzLI,Experimental,Jazz,Jazz
1468,2002,19,Gangsta Lovin',"Eve,Alicia Keys,",https://www.youtube.com/watch?v=aNI8XFEAyI0,Experimental,Jazz,Jazz
1477,2002,28,"Whenever, Wherever",Shakira,https://www.youtube.com/watch?v=weRHyjj34ZE,Experimental,Jazz,Jazz
1483,2002,34,Just a Friend 2002,Mario,https://www.youtube.com/watch?v=q4BTLoHSGMk,Jazz,Experimental,Jazz
1489,2002,40,Addictive,"Truth Hurts,Rakim,",https://www.youtube.com/watch?v=uU3WXUWpa6I,Experimental,Jazz,Jazz
1497,2002,48,Halfcrazy,Musiq Soulchild,https://www.youtube.com/watch?v=IP4V3TTC3fw,Experimental,Jazz,Jazz
1463,2002,14,The Middle,Jimmy Eat World,https://www.youtube.com/watch?v=oKsxPW6i3pM,Experimental,Pop,Pop
1466,2002,17,Family Affair,Mary J. Blige,https://www.youtube.com/watch?v=znlFu_lemsU,Pop,Experimental,Pop
1471,2002,22,Hero,Enrique Iglesias,https://www.youtube.com/watch?v=TmSRMWw8Y_0,Experimental,Pop,Pop
1472,2002,23,All You Wanted,Michelle Branch,https://www.youtube.com/watch?v=Cbo2n2MzxxE,Pop,Experimental,Pop
1474,2002,25,Hero,"Chad Kroeger,Josey Scott,",https://www.youtube.com/watch?v=TmSRMWw8Y_0,Experimental,Pop,Pop
1484,2002,35,Soak Up the Sun,Sheryl Crow,https://www.youtube.com/watch?v=KIYiGA_rIls,Experimental,Pop,Pop
1487,2002,38,Oops (Oh My),"Tweet,Missy Elliott,",https://www.youtube.com/watch?v=P5rqNyulfsQ,Pop,Experimental,Pop
1490,2002,41,Happy,Ashanti,https://www.youtube.com/watch?v=MrCsubL_OSQ,Experimental,Pop,Pop
1450,2002,1,How You Remind Me,Nickelback,https://www.youtube.com/watch?v=1cQh1ccqu8M,Experimental,Rock,Rock
1454,2002,5,Wherever You Will Go,The Calling,https://www.youtube.com/watch?v=iAP9AF6DCu4,Experimental,Rock,Rock
1456,2002,7,In the End,Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4,Experimental,Rock,Rock
1458,2002,9,U Got It Bad,Usher,https://www.youtube.com/watch?v=o3IWTfcks4k,Experimental,Rock,Rock
1459,2002,10,Blurry,Puddle of Mudd,https://www.youtube.com/watch?v=5RisBAkC0x8,Experimental,Rock,Rock
1460,2002,11,Complicated,Avril Lavigne,https://www.youtube.com/watch?v=5NPBIwQyPWE,Experimental,Rock,Rock
1465,2002,16,U Don't Have to Call,Usher,https://www.youtube.com/watch?v=3AszPTJXIgM,Experimental,Rock,Rock
1469,2002,20,My Sacrifice,Creed,https://www.youtube.com/watch?v=O-fyNgHdmLI,Experimental,Rock,Rock
1476,2002,27,One Last Breath,Creed,https://www.youtube.com/watch?v=qnkuBUAwfe0,Experimental,Rock,Rock
1480,2002,31,Heaven,"DJ Sammy,Yanou,Do,",https://www.youtube.com/watch?v=ihrwoLHzxTQ,Experimental,Rock,Rock
1491,2002,42,No Such Thing,John Mayer,https://www.youtube.com/watch?v=H1W2UddURXI,Experimental,Rock,Rock
1492,2002,43,Just Like a Pill,Pink,https://www.youtube.com/watch?v=JDKGWaCglRM,Experimental,Rock,Rock
1495,2002,46,Superman (It's Not Easy),Five for Fighting,https://www.youtube.com/watch?v=GRz4FY0ZcwI,Experimental,Rock,Rock
1496,2002,47,Cleanin' Out My Closet,Eminem,https://www.youtube.com/watch?v=RQ9_TKayu9s,,,
1534,2003,35,Landslide,Dixie Chicks,https://www.youtube.com/watch?v=J4_wXPZ1Bnk,Experimental,Classical,Classical
1500,2003,1,In da Club,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss,Electronic,Hip-Hop,Electronic
1501,2003,2,Ignition,R. Kelly,https://www.youtube.com/watch?v=ksB-2ZhNXBE,Electronic,Hip-Hop,Electronic
1502,2003,3,Get Busy,Sean Paul,https://www.youtube.com/watch?v=oPQ3o14ksaM,Experimental,Electronic,Electronic
1503,2003,4,Crazy in Love,"Beyoncé,Jay-Z,",https://www.youtube.com/watch?v=ViwtNLUqkMY,Electronic,Experimental,Electronic
1506,2003,7,Right Thurr,Chingy,https://www.youtube.com/watch?v=iO476kD-k0g,Experimental,Electronic,Electronic
1507,2003,8,Miss You,Aaliyah,https://www.youtube.com/watch?v=s1tAYmMjLdY,Experimental,Electronic,Electronic
1510,2003,11,Get Low,"Lil Jon & The East Side Boyz,Ying Yang Twins,",https://www.youtube.com/watch?v=IYH7_GzP4Tg,Experimental,Electronic,Electronic
1515,2003,16,Beautiful,Christina Aguilera,https://www.youtube.com/watch?v=_FE194VN6c4,Electronic,Jazz,Electronic
1518,2003,19,Drift Away,"Uncle Kracker,Dobie Gray,",https://www.youtube.com/watch?v=A69BertdSt4,Experimental,Electronic,Electronic
1519,2003,20,Magic Stick,"Lil' Kim,50 Cent,",https://www.youtube.com/watch?v=8QF6j1iEYts,Electronic,Experimental,Electronic
1520,2003,21,P.I.M.P.,50 Cent,https://www.youtube.com/watch?v=UDApZhXTpH8,Electronic,Experimental,Electronic
1521,2003,22,"Bump, Bump, Bump","B2K,P. Diddy,",https://www.youtube.com/watch?v=CgiX53hjAPc,Experimental,Electronic,Electronic
1522,2003,23,Into You,"Fabolous,Tamia,",https://www.youtube.com/watch?v=WY85QiFbfdY,Experimental,Electronic,Electronic
1523,2003,24,Can't Let You Go,"Fabolous,Lil' Mo,",https://www.youtube.com/watch?v=z4gXkpt6jPE,Experimental,Electronic,Electronic
1524,2003,25,Mesmerize,"Ja Rule,Ashanti,",https://www.youtube.com/watch?v=VcP96KbFIIU,Experimental,Electronic,Electronic
1529,2003,30,Cry Me a River,Justin Timberlake,https://www.youtube.com/watch?v=DksSPZTZES0,Experimental,Electronic,Electronic
1531,2003,32,Rock Your Body,Justin Timberlake,https://www.youtube.com/watch?v=TSVHoHyErBQ,Electronic,Experimental,Electronic
1532,2003,33,No Letting Go,Wayne Wonder,https://www.youtube.com/watch?v=CvJi8INoyUw,Electronic,Experimental,Electronic
1533,2003,34,Frontin',"Pharrell,Jay-Z,",https://www.youtube.com/watch?v=LOtkH5amC7s,Experimental,Electronic,Electronic
1535,2003,36,Work It,Missy Elliott,https://www.youtube.com/watch?v=cjIvu7e6Wq8,Experimental,Electronic,Electronic
1536,2003,37,'03 Bonnie & Clyde,"Jay-Z,Beyoncé,",https://www.youtube.com/watch?v=hl5t3TyP8aY,Experimental,Electronic,Electronic
1538,2003,39,So Gone,Monica,https://www.youtube.com/watch?v=UE6zfOuYfVI,Experimental,Electronic,Electronic
1539,2003,40,Air Force Ones,"Nelly,St. Lunatics,",https://www.youtube.com/watch?v=BfzsMQGqrt0,Electronic,Experimental,Electronic
1540,2003,41,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,https://www.youtube.com/watch?v=QhKj93rPIDo,Electronic,Experimental,Electronic
1541,2003,42,Beautiful,"Snoop Dogg,Pharrell,Charlie Wilson,",https://www.youtube.com/watch?v=_FE194VN6c4,Electronic,Jazz,Electronic
1542,2003,43,Gossip Folks,"Missy Elliott,Ludacris,",https://www.youtube.com/watch?v=kYKI8tAELXY,Experimental,Electronic,Electronic
1543,2003,44,Miss Independent,Kelly Clarkson,https://www.youtube.com/watch?v=dS1ZW0FdoIU,Experimental,Electronic,Electronic
